X,Y,label
1.225159742,-0.951731163,1
1.016303647,-1.72517506,1
0.335340043,-1.724895501,1
1.786348221,-1.782653136,1
1.016750943,1.062569465,1
-1.514052012,-1.8110384,0
0.843649746,-1.579146941,1
0.657993748,0.076212824,1
1.243951655,0.174076159,1
1.340966852,0.130104955,1
-1.451643718,-1.948450218,0
-0.915810425,-0.837038344,0
-0.938879042,-0.939708527,0
-1.52513606,-1.735143605,0
-0.179530107,0.016550673,0
-1.472920289,-1.524696907,0
-1.670126647,-1.765541541,0
-0.645967634,-0.822265269,0
-0.858613959,-0.799871093,0
-1.004238569,-1.053167851,0
-1.064094292,-1.304111935,0
1.082232291,0.140906754,1
0.895745872,-3.073093321,1
-0.80613222,-0.987795695,0
1.429553644,0.583480981,1
-0.21855213,-0.155354874,0
0.946749323,-1.064011543,1
-1.168651904,-1.385725172,0
0.860058582,-1.578898998,1
0.703752684,-1.219660143,1
0.335372539,-2.140556719,1
0.379152132,-1.451050827,1
0.83827876,-0.740119776,1
0.360672003,-3.550345191,1
-1.515029149,-1.677131317,0
-1.725688749,-1.923005315,0
-2.487600577,-2.6848054,0
-1.062943269,-1.143638444,0
-1.661329891,-1.894645829,0
-0.063564886,0.416827488,0
-1.860283792,-2.195624202,0
-0.743492653,-1.001012294,0
-0.825655381,-0.571858366,0
-0.220640545,-0.160959837,0
0.633892849,-1.648120976,1
1.051086397,-0.451383504,1
-1.542614214,-1.63586457,0
1.102276237,-0.673198603,1
-1.888628217,-2.093899156,0
-0.994313003,-1.081517602,0
1.62804377,0.045263858,1
-0.511039286,-0.396560143,0
1.045030295,0.433784694,1
-0.9467762,-0.673245343,0
0.851551197,-0.194175345,1
1.158306751,-0.358965747,1
1.541490176,0.557116106,1
1.236941302,-1.406289222,1
0.204550116,-2.211542644,1
0.809871067,-1.433285096,1
-2.002767497,-2.50870772,0
-1.297002038,-1.352677437,0
0.802633142,-1.223769943,1
0.431777863,-0.378891091,1
-0.641886683,-0.530475948,0
0.812510304,-1.19533276,1
0.489594344,-2.640212302,1
-0.757069436,-0.642540282,0
-0.123438148,0.079406211,0
1.343173182,-1.437643778,1
0.968239727,-0.811007667,1
-1.256787437,-1.394590064,0
-1.115092374,-1.135829825,0
-1.297412501,-1.46077019,0
1.720039335,0.344651728,1
1.438364313,-2.112604107,1
-0.294121776,-0.196882785,0
1.023455092,-2.424025916,1
0.388059255,0.908567303,0
1.372145813,-1.341476539,1
-2.460705524,-3.255384333,0
-1.619174735,-2.156039946,0
-1.50513794,-1.720860021,0
1.24069168,-1.454767723,1
1.248811683,0.153579215,1
0.669713401,-2.421950194,1
2.118920443,0.587147345,1
-0.496297224,-0.384924474,0
-1.377422555,-1.602730628,0
0.824589688,-1.460922869,1
-0.572585894,-0.50451615,0
0.1712565,0.729431148,0
0.70917806,-2.379926193,1
-1.535197252,-1.618980975,0
1.506317713,-0.330620757,1
1.535430252,0.16097692,1
-0.722030614,-0.778890238,0
-0.897257186,-0.706891221,0
-0.977052206,-1.129377977,0
0.880684172,-1.338360377,1
0.135672147,0.573175368,0
1.035236099,-1.397988072,1
1.475391608,-0.542685018,1
-0.302535659,0.154522061,0
-1.614137816,-1.566690529,0
1.634681649,1.660511466,1
-0.617665871,-0.240024955,0
-1.076096626,-1.143561093,0
0.904712066,-0.828616514,1
0.530345096,-3.259501515,1
0.065564265,-3.493102072,1
-1.603067951,-1.419785306,0
